pred_num,pred_true_num,score
1923,37,0.48613222
1924,0,0.46595131
1924,1,0.46649598
1924,2,0.46704065
1924,3,0.46758532
1924,4,0.46812999
1924,5,0.46867466
1924,6,0.46921933
1924,7,0.46976400
1924,8,0.47030867
1924,9,0.47085334
1924,10,0.47139801
1924,11,0.47194268
1924,12,0.47248735
1924,13,0.47303202
1924,14,0.47357669
1924,15,0.47412136
1924,16,0.47466603
1924,17,0.47521070
1924,18,0.47575537
1924,19,0.47630004
1924,20,0.47684471
1924,21,0.47738938
1924,22,0.47793405
1924,23,0.47847872
1924,24,0.47902339
1924,25,0.47956806
1924,26,0.48011273
1924,27,0.48065740
1924,28,0.48120207
1924,29,0.48174674
1924,30,0.48229141
1924,31,0.48283608
1924,32,0.48338075
1924,33,0.48392542
1924,34,0.48447009
1924,35,0.48501476
1924,36,0.48555943
1924,37,0.48610409
1925,0,0.46593277
1925,1,0.46647718
1925,2,0.46702159
1925,3,0.46756600
1925,4,0.46811041
1925,5,0.46865482
1925,6,0.46919923
1925,7,0.46974365
1925,8,0.47028806
1925,9,0.47083247
1925,10,0.47137688
1925,11,0.47192129
1925,12,0.47246570
1925,13,0.47301011
1925,14,0.47355452
1925,15,0.47409893
1925,16,0.47464335
1925,17,0.47518776
1925,18,0.47573217
1925,19,0.47627658
1925,20,0.47682099
1925,21,0.47736540
1925,22,0.47790981
1925,23,0.47845422
1925,24,0.47899863
1925,25,0.47954304
1925,26,0.48008746
1925,27,0.48063187
1925,28,0.48117628
1925,29,0.48172069
1925,30,0.48226510
1925,31,0.48280951
1925,32,0.48335392
1925,33,0.48389833
1925,34,0.48444274
1925,35,0.48498715
1925,36,0.48553157
1925,37,0.48607598
1926,0,0.46591422
1926,1,0.46645837
1926,2,0.46700253
1926,3,0.46754668
1926,4,0.46809083
1926,5,0.46863498
1926,6,0.46917914
1926,7,0.46972329
1926,8,0.47026744
1926,9,0.47081159
1926,10,0.47135575
1926,11,0.47189990
1926,12,0.47244405
1926,13,0.47298821
1926,14,0.47353236
1926,15,0.47407651
1926,16,0.47462066
1926,17,0.47516482
1926,18,0.47570897
1926,19,0.47625312
1926,20,0.47679727
1926,21,0.47734143
1926,22,0.47788558
1926,23,0.47842973
1926,24,0.47897388
1926,25,0.47951804
1926,26,0.48006219
1926,27,0.48060634
1926,28,0.48115049
1926,29,0.48169465
1926,30,0.48223880
1926,31,0.48278295
1926,32,0.48332710
1926,33,0.48387126
1926,34,0.48441541
1926,35,0.48495956
1926,36,0.48550371
1926,37,0.48604787
1927,0,0.46589567
1927,1,0.46643957
1927,2,0.46698346
1927,3,0.46752736
1927,4,0.46807125
1927,5,0.46861514
1927,6,0.46915904
1927,7,0.46970293
1927,8,0.47024683
1927,9,0.47079072
1927,10,0.47133462
1927,11,0.47187851
1927,12,0.47242241
1927,13,0.47296630
1927,14,0.47351019
1927,15,0.47405409
1927,16,0.47459798
1927,17,0.47514188
1927,18,0.47568577
1927,19,0.47622967
1927,20,0.47677356
1927,21,0.47731746
1927,22,0.47786135
1927,23,0.47840524
1927,24,0.47894914
1927,25,0.47949303
1927,26,0.48003693
1927,27,0.48058082
1927,28,0.48112472
1927,29,0.48166861
1927,30,0.48221251
1927,31,0.48275640
1927,32,0.48330029
1927,33,0.48384419
1927,34,0.48438808
1927,35,0.48493198
1927,36,0.48547587
1927,37,0.48601977
1928,0,0.46587712
1928,1,0.46642076
1928,2,0.46696440
1928,3,0.46750803
1928,4,0.46805167
1928,5,0.46859531
1928,6,0.46913894
1928,7,0.46968258
1928,8,0.47022622
1928,9,0.47076985
1928,10,0.47131349
1928,11,0.47185712
1928,12,0.47240076
1928,13,0.47294440
1928,14,0.47348803
1928,15,0.47403167
1928,16,0.47457531
1928,17,0.47511894
1928,18,0.47566258
1928,19,0.47620622
1928,20,0.47674985
1928,21,0.47729349
1928,22,0.47783713
1928,23,0.47838076
1928,24,0.47892440
1928,25,0.47946804
1928,26,0.48001167
1928,27,0.48055531
1928,28,0.48109895
1928,29,0.48164258
1928,30,0.48218622
1928,31,0.48272985
1928,32,0.48327349
1928,33,0.48381713
1928,34,0.48436076
1928,35,0.48490440
1928,36,0.48544804
1928,37,0.48599167
1929,0,0.46585857
1929,1,0.46640195
1929,2,0.46694533
1929,3,0.46748871
1929,4,0.46803209
1929,5,0.46857547
1929,6,0.46911885
1929,7,0.46966222
1929,8,0.47020560
1929,9,0.47074898
1929,10,0.47129236
1929,11,0.47183574
1929,12,0.47237912
1929,13,0.47292250
1929,14,0.47346588
1929,15,0.47400925
1929,16,0.47455263
1929,17,0.47509601
1929,18,0.47563939
1929,19,0.47618277
1929,20,0.47672615
1929,21,0.47726953
1929,22,0.47781291
1929,23,0.47835629
1929,24,0.47889966
1929,25,0.47944304
1929,26,0.47998642
1929,27,0.48052980
1929,28,0.48107318
1929,29,0.48161656
1929,30,0.48215994
1929,31,0.48270332
1929,32,0.48324670
1929,33,0.48379007
1929,34,0.48433345
1929,35,0.48487683
1929,36,0.48542021
1929,37,0.48596359
1930,0,0.46584002
1930,1,0.46638314
1930,2,0.46692626
1930,3,0.46746938
1930,4,0.46801251
1930,5,0.46855563
1930,6,0.46909875
1930,7,0.46964187
1930,8,0.47018499
1930,9,0.47072811
1930,10,0.47127123
1930,11,0.47181436
1930,12,0.47235748
1930,13,0.47290060
1930,14,0.47344372
1930,15,0.47398684
1930,16,0.47452996
1930,17,0.47507308
1930,18,0.47561621
1930,19,0.47615933
1930,20,0.47670245
1930,21,0.47724557
1930,22,0.47778869
1930,23,0.47833181
1930,24,0.47887494
1930,25,0.47941806
1930,26,0.47996118
1930,27,0.48050430
1930,28,0.48104742
1930,29,0.48159054
1930,30,0.48213366
1930,31,0.48267679
1930,32,0.48321991
1930,33,0.48376303
1930,34,0.48430615
1930,35,0.48484927
1930,36,0.48539239
1930,37,0.48593551
1931,0,0.46582147
1931,1,0.46636433
1931,2,0.46690719
1931,3,0.46745006
1931,4,0.46799292
1931,5,0.46853579
1931,6,0.46907865
1931,7,0.46962152
1931,8,0.47016438
1931,9,0.47070725
1931,10,0.47125011
1931,11,0.47179297
1931,12,0.47233584
1931,13,0.47287870
1931,14,0.47342157
1931,15,0.47396443
1931,16,0.47450730
1931,17,0.47505016
1931,18,0.47559302
1931,19,0.47613589
1931,20,0.47667875
1931,21,0.47722162
1931,22,0.47776448
1931,23,0.47830735
1931,24,0.47885021
1931,25,0.47939307
1931,26,0.47993594
1931,27,0.48047880
1931,28,0.48102167
1931,29,0.48156453
1931,30,0.48210740
1931,31,0.48265026
1931,32,0.48319313
1931,33,0.48373599
1931,34,0.48427885
1931,35,0.48482172
1931,36,0.48536458
1931,37,0.48590745
1932,0,0.46580291
1932,1,0.46634552
1932,2,0.46688813
1932,3,0.46743073
1932,4,0.46797334
1932,5,0.46851595
1932,6,0.46905856
1932,7,0.46960116
1932,8,0.47014377
1932,9,0.47068638
1932,10,0.47122899
1932,11,0.47177159
1932,12,0.47231420
1932,13,0.47285681
1932,14,0.47339942
1932,15,0.47394202
1932,16,0.47448463
1932,17,0.47502724
1932,18,0.47556985
1932,19,0.47611245
1932,20,0.47665506
1932,21,0.47719767
1932,22,0.47774028
1932,23,0.47828288
1932,24,0.47882549
1932,25,0.47936810
1932,26,0.47991071
1932,27,0.48045331
1932,28,0.48099592
1932,29,0.48153853
1932,30,0.48208114
1932,31,0.48262374
1932,32,0.48316635
1932,33,0.48370896
1932,34,0.48425157
1932,35,0.48479417
1932,36,0.48533678
1932,37,0.48587939
1933,0,0.46578435
1933,1,0.46632671
1933,2,0.46686906
1933,3,0.46741141
1933,4,0.46795376
1933,5,0.46849611
1933,6,0.46903846
1933,7,0.46958081
1933,8,0.47012316
